listing_id,host_id,host_name,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,city,neighbourhood,district,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,amenity_score,number_of_reviews,review_scores_rating,license,instant_bookable,monthly_earning_€,type
51077790,68914595,Diego,1.0,1.0,F,1,1,T,Madrid,Pacífico,Retiro,40.40646,-3.67933,Private room,1,1,1,0,0,1,5.0,T,F,693.0,airbnb
51081630,156627995,Sandra,1.0,1.0,F,0,0,T,Madrid,Embajadores,Centro,40.40834,-3.71053,Entire place,1,1,1,0,0,1,5.0,T,T,801.9,airbnb
51085014,408748798,Darla,1.0,0.94,F,1,1,T,Madrid,Pacífico,Retiro,40.405516605477,-3.682720665975109,Private room,1,1,1,1,0,1,5.0,T,F,49.5,airbnb
51123317,198694448,Jesús,1.0,0.94,F,0,0,F,Madrid,Acacias,Arganzuela,40.399063,-3.70125,Private room,2,1,1,1,3,7,4.43,T,T,417.945,airbnb
51146122,213327477,Robert,1.0,0.0,F,0,0,T,Madrid,Buenavista,Carabanchel,40.37219,-3.74226,Private room,2,1,1,1,2,0,0.0,T,F,164.33999999999995,airbnb
51155361,193763173,Monica,1.0,0.0,F,2,2,F,Madrid,Palos de Moguer,Arganzuela,40.4035,-3.69012,Entire place,5,1,3,3,2,0,0.0,T,F,2252.25,airbnb
51161580,414055463,Jeimmy,0.0,0.0,F,0,0,T,Madrid,Ventas,Ciudad Lineal,40.42279,-3.6504,Private room,1,1,1,1,0,1,5.0,T,T,196.7625,airbnb
51163448,356881304,M.A Rooms Star,0.89,0.39,F,8,8,F,Madrid,Cuatro Caminos,Tetuán,40.45136,-3.70184,Entire place,4,2,1,4,1,0,0.0,T,F,297.0,airbnb
51169707,414125695,Isabel,0.58,0.5,F,0,0,F,Madrid,Guindalera,Salamanca,40.43541,-3.66461,Private room,2,2,3,1,1,0,0.0,T,T,49.5,airbnb
51188204,414294215,Alvaro,0.7,0.2,F,0,0,F,Madrid,San Juan Bautista,Ciudad Lineal,40.45217,-3.66212,Entire place,2,1,1,1,1,0,0.0,T,F,569.25,airbnb
