id,host_id,host_name,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,city,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,price_€,room_type,accommodates,bathrooms,bedrooms,beds,lift,heating,aircon,exterior,garden,pool,terrace,balcony,storage,amenity_score,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,reviews_per_month
35210512,265120512,Francisca De,0.0,0.0,F,1,1,F,Madrid,Cortes,Centro,40.41405,-3.69614,256.41,Private room,2,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35210615,213315985,Laura,0.0,0.0,F,1,1,T,Madrid,San Andrés,Villaverde,40.35073,-3.71434,198.0,Hotel room,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35181812,252522294,Max,1.0,0.67,F,0,0,T,Madrid,Embajadores,Centro,40.41308,-3.70737,49.5,Entire place,2,1,1,1,0,0,1,0,0,0,0,1,0,2,1,1125,35,4.8,4.94,4.66,4.74,4.86,4.97,4.69,T,F,0.96
35213361,192319834,Felix,0.0,0.0,F,2,2,F,Madrid,Palacio,Centro,40.41784,-3.70921,594.0,Entire place,4,1,1,2,1,0,1,0,0,0,0,0,0,2,1,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35181818,206120299,Andres,0.0,0.0,F,1,1,F,Madrid,Pueblo Nuevo,Ciudad Lineal,40.43085,-3.64057,742.5,Private room,4,1,2,2,0,0,1,0,0,0,0,0,0,1,1,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35181843,62414941,Victor,0.0,0.57,F,2,2,T,Madrid,Universidad,Centro,40.42746,-3.70332,58.41,Private room,1,1,1,1,1,0,1,0,0,0,0,0,0,2,1,1125,1,5.0,5.0,5.0,5.0,3.0,5.0,3.0,T,F,0.03
35214081,5848210,César,0.0,0.0,F,1,1,T,Madrid,Delicias,Arganzuela,40.39961,-3.69708,108.9,Private room,2,1,1,1,1,0,1,0,0,0,0,0,0,2,1,6,7,5.0,5.0,5.0,5.0,5.0,5.0,4.86,T,T,0.19
35182184,86561934,Bruno,0.0,0.0,F,1,1,F,Madrid,Vallehermoso,Chamberí,40.43924,-3.71509,346.5,Private room,2,1,1,2,1,0,1,0,0,0,0,0,0,2,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35215184,139848698,Lorena,0.0,0.0,F,2,2,T,Madrid,Simancas,San Blas - Canillejas,40.43682,-3.63117,247.5,Entire place,5,1,3,4,0,0,0,0,0,0,0,0,0,0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,F,0.0
35216048,265161696,Ana,0.0,0.0,F,1,1,F,Madrid,Pueblo Nuevo,Ciudad Lineal,40.42906,-3.63619,34.65,Private room,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35216523,265164844,Paul,0.0,0.0,F,1,1,F,Madrid,Valdefuentes,Hortaleza,40.48806,-3.66785,495.0,Private room,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35216967,224860006,Carlos,0.0,0.0,F,1,1,T,Madrid,Concepción,Ciudad Lineal,40.44237,-3.64353,990.0,Private room,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
